Player,Squad,Season,Nation,Pos,Age,Goals,Assists,npxG,xA,Shots,Shot_Dist,SoT_p90,Pass_Cmp_Pct,Prg_Pass_Dist_p90,Long_Pass_Cmp_Pct,Touches_p90,Dribbles_Succ_p90,Prg_Carry_Dist_p90,Tackles,Interceptions,Blocks_p90,SCA,GCA_p90,Minutes,Goals_p90,Assists_p90,npxG_p90,xA_p90,Shots_p90,Tackles_p90,Interceptions_p90,SCA_p90,General_Position,x,y,z,Cluster_ID,Role_Probability,Role_Name
Laurent Koscielny,Arsenal,2018,FRA,DF,31.0,2.0,0.0,1.9,0.5,9.0,8.2,0.0808988764044943,89.9,458.2112359550562,83.2,82.39550561797752,0.0808988764044943,139.26741573033706,42.0,56.0,1.6988764044943818,11.0,0.0,2225.0,0.0808988764044943,0.0,0.0768539325842696,0.0202247191011235,0.3640449438202247,1.6988764044943818,2.2651685393258427,0.444943820224719,Defender,6.367074,5.667706,2.4334848,4,0.9736226387367636,Commanding Center Back
Nacho Monreal,Arsenal,2018,ESP,DF,31.0,5.0,2.0,2.1,1.5,22.0,16.9,0.3209986625055729,89.4,394.7481052162283,74.6,83.9010254123941,0.2407489968791796,127.6370931787784,51.0,65.0,1.4846188140882748,24.0,0.0802496656263932,2243.0,0.200624164065983,0.0802496656263932,0.0842621489077128,0.0601872492197949,0.8827463218903254,2.046366473473028,2.60811413285778,0.9629959875167188,Defender,5.251621,6.5534782,3.2282934,1,0.9729982374460762,Stopper / No-Nonsense CB
Shkodran Mustafi,Arsenal,2018,GER,DF,25.0,3.0,1.0,0.9,0.4,15.0,12.1,0.2375714914210294,86.3,412.4241091069072,71.5,83.18961724593049,0.1187857457105147,127.97184337879452,70.0,55.0,1.4650241970963485,14.0,0.1187857457105147,2273.0,0.1187857457105147,0.0395952485701715,0.0356357237131544,0.0158380994280686,0.5939287285525737,2.7716673999120105,2.1777386713594367,0.5543334799824021,Defender,3.785575,6.356837,2.634431,1,0.8471801472491564,Stopper / No-Nonsense CB
Mattia Caldara,Atalanta,2018,ITA,DF,23.0,3.0,1.0,2.7,0.1,9.0,9.3,0.25,86.1,186.58333333333331,85.1,53.5,0.1666666666666666,65.0,47.0,25.0,1.6666666666666663,9.0,0.125,2160.0,0.125,0.0416666666666666,0.1125,0.0041666666666666,0.375,1.9583333333333333,1.0416666666666663,0.375,Defender,6.3580065,4.0028653,2.3475597,0,0.953685837265142,Ball Playing Defender
Timothy Castagne,Atalanta,2018,BEL,"DF,MF",21.0,0.0,1.0,1.0,2.2,8.0,16.4,0.24,80.6,271.62,62.3,69.72,1.08,111.12,53.0,11.0,1.98,29.0,0.24,1500.0,0.0,0.06,0.06,0.132,0.48,3.18,0.66,1.74,Defender,2.5444617,4.5264206,1.9066793,2,0.9997831336779456,Conservative Defender
Robin Gosens,Atalanta,2018,GER,"DF,MF",23.0,1.0,2.0,0.7,1.8,11.0,18.5,0.062026188835286,78.4,282.6533425223984,43.2,65.37560303239145,0.6822880771881461,119.77257064093727,60.0,19.0,2.1088904203997245,37.0,0.124052377670572,1451.0,0.062026188835286,0.124052377670572,0.0434183321847002,0.1116471399035148,0.6822880771881461,3.7215713301171607,1.178497587870434,2.2949689869055825,Defender,1.7392565,4.801685,2.4913552,2,0.9926462949448888,Conservative Defender
Hans Hateboer,Atalanta,2018,NED,"DF,MF",23.0,0.0,1.0,1.8,1.7,23.0,15.3,0.3002502085070892,79.3,256.7514595496247,54.0,62.86488740617181,0.7506255212677231,123.81567973311093,42.0,15.0,1.95162635529608,49.0,0.1125938281901584,2398.0,0.0,0.0375312760633861,0.067556296914095,0.0638031693077564,0.8632193494578816,1.5763135946622184,0.5629691409507923,1.8390325271059216,Defender,2.4153774,2.3589935,3.5939617,2,0.999999998986663,Conservative Defender
José Luis Palomino,Atalanta,2018,ARG,DF,27.0,1.0,0.0,1.8,0.5,9.0,7.7,0.090955027791814,84.1,295.0126326427489,71.8,63.62304194037392,0.2273875694795351,114.51237998989389,67.0,21.0,2.273875694795351,11.0,0.0,1979.0,0.045477513895907,0.0,0.0818595250126326,0.0227387569479535,0.4092976250631632,3.0469934310257702,0.9550277918140474,0.5002526528549772,Defender,2.8699682,4.4196978,2.054109,2,0.9990148280146244,Conservative Defender
Andrea Masiello,Atalanta,2018,ITA,DF,31.0,4.0,0.0,3.0,0.3,22.0,10.8,0.2327299593646102,84.4,435.5707425193942,69.9,75.60398965644625,0.365718507572959,129.99630587366087,69.0,40.0,1.795345400812708,28.0,0.1329885482083487,2707.0,0.1329885482083487,0.0,0.0997414111562615,0.0099741411156261,0.731437015145918,2.294052456594016,1.3298854820834871,0.930919837458441,Defender,4.8517957,5.2966003,2.0084987,3,0.9969778600882316,Progressive Defender
Leonardo Spinazzola,Atalanta,2018,ITA,DF,24.0,0.0,3.0,0.6,2.5,9.0,16.9,0.059880239520958,76.7,273.5329341317365,51.7,70.11976047904191,2.275449101796407,216.2874251497006,17.0,16.0,2.095808383233533,30.0,0.1197604790419161,1503.0,0.0,0.1796407185628742,0.0359281437125748,0.1497005988023952,0.5389221556886228,1.0179640718562877,0.9580838323353292,1.7964071856287425,Defender,2.4184256,2.3204472,3.820209,2,0.999999999764527,Conservative Defender
